ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0019693,ribose phosphate metabolic process,79,0.409351126,1.785390394,0.001118788,0.03422607,0.030820895,408,"tags=32%, list=17%, signal=27%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/DPYD/HSPA8/NDUFA13/NDUFB8/NDUFB1/NDUFA3/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/PDE4B/PDE4D/NDUFA2/ATP5PD/NDUFA12/STAT3/ATP5MF/NDUFA1/MPP1
GO:0002443,leukocyte mediated immunity,84,0.406253881,1.783956829,0.001078236,0.033716633,0.030362142,254,"tags=21%, list=11%, signal=20%",HLA-B/B2M/HLA-C/IGKC/IGHV1-18/IRF7/IGHV7-4-1/IGHV3-23/RAC2/RSAD2/NKG7/HSPA8/IGHV3-11/SERPING1/IL7R/GAB2/CD7/BST2
GO:0009617,response to bacterium,126,0.376598633,1.771514786,0.001087633,0.033716633,0.030362142,327,"tags=31%, list=14%, signal=28%",RPL30/HLA-B/B2M/ISG15/RPL39/S100A8/FKBP5/PPBP/GNLY/DEFA3/CFP/JCHAIN/IFI44/GBP1/PLAC8/LILRB2/OAS3/GBP5/OAS1/IL7R/CXCL10/PRKCE/RNF213/MIF/OAS2/CARD16/USP18/PDE4B/ROMO1/CASP4/FAU/CMPK2/FOXP1/PELI1/JAK2/GBP4/FCGR1A/HERC6/ZNFX1
GO:0009605,response to external stimulus,434,0.333098697,1.768760822,1.16E-06,0.000117601,0.000105901,330,"tags=23%, list=14%, signal=25%",RPL30/IFITM1/IFI27/NEAT1/HLA-B/IFITM3/B2M/HLA-C/ISG15/RPL39/MX1/S100A8/EEF1G/NCF1/IFI44L/ISG20/IRF7/IFIT1/IFIT3/FKBP5/IFI6/RAC2/RSAD2/COTL1/PPBP/GNLY/CSF3R/DEFA3/APOBEC3A/MX2/GNAQ/NKG7/CFP/JCHAIN/HERC5/AOAH/IFI44/CCL5/GBP1/STAT1/HSPA8/PSMA6/IFITM2/PLAC8/RPS15A/IFIT2/LILRB2/OAS3/GBP5/SERPING1/DDX60L/OAS1/OASL/IL7R/EXT1/CXCL10/PRKCE/UBE2L6/NT5C3A/PSMA1/TRIM22/RNF213/EIF2AK2/PLSCR1/TYMP/BCL2/MIF/SHFL/DDX60/ATG7/IFI35/OAS2/SLC8A1/PSMA2/DISC1/TPT1/CARD16/USP18/PARP9/PDE4B/ROMO1/BST2/CASP4/FAU/CMPK2/FOXP1/HMGN2/PELI1/STAT2/ANKHD1/SP100/THBS1/IFIH1/JAK2/GBP4/RIPOR2/AUP1/FCGR1A/HERC6/ZNFX1/ZBP1
GO:0009150,purine ribonucleotide metabolic process,75,0.40996071,1.761109967,0.001840192,0.049179506,0.044286605,408,"tags=32%, list=17%, signal=27%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/HSPA8/NDUFA13/NDUFB8/NDUFB1/NDUFA3/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/PDE4B/PDE4D/NDUFA2/ATP5PD/NDUFA12/STAT3/ATP5MF/NDUFA1/MPP1
GO:0009117,nucleotide metabolic process,96,0.392531243,1.754794545,0.001866748,0.049179506,0.044286605,408,"tags=31%, list=17%, signal=27%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/DPYD/HSPA8/NDUFA13/NDUFB8/NDUFB1/NDUFA3/NT5C3A/TYMP/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/PARP9/PDE4B/CMPK2/PDE4D/NDUFA2/ATP5PD/NDUFA12/FHIT/STAT3/ATP5MF/NDUFA1/MPP1
GO:0055086,nucleobase-containing small molecule metabolic process,115,0.378270483,1.750198401,0.000969584,0.031750465,0.028591591,441,"tags=30%, list=19%, signal=26%",ATP6V0C/ALDOA/ATP5ME/NME2/NDUFA11/ATP5F1E/DPYD/GLRX/HSPA8/NDUFA13/ACSL1/NDUFB8/NDUFB1/NDUFA3/NT5C3A/TYMP/ATP5MC2/NDUFC1/ZBTB20/NDUFA7/PARP9/PDE4B/CMPK2/PDE4D/NDUFA2/ATP5PD/NDUFA12/FHIT/STAT3/ATP5MF/NDUFA1/MPP1/GMDS/FAR2/NT5C2
GO:0015980,energy derivation by oxidation of organic compounds,76,0.404326795,1.741857022,0.00188454,0.049179506,0.044286605,553,"tags=38%, list=23%, signal=30%",UQCR11/ATP5ME/NDUFA11/ATP5F1E/NDUFA4/SCO2/NDUFA13/NDUFB8/OAS1/NDUFB1/NDUFA3/CHCHD2/PTGES3/NDUFC1/NDUFA7/BLOC1S1/NDUFA2/ATP5PD/NDUFA12/ATP5MF/NDUFA1/IL6ST/IL10RB/MTLN/NDUFC2/ETFA/UQCRQ/SUCLG1/PNPT1
GO:0072359,circulatory system development,149,-0.282172848,-1.659958302,0.00093973,0.031212464,0.028107115,475,"tags=35%, list=20%, signal=30%",SOX4/COMT/MTDH/HIPK1/QKI/ID1/CD36/HHEX/WNK1/TIPARP/ITGAX/MAP3K3/GLUL/IL6R/HMOX1/LRP1/BASP1/NR4A1/GRN/EMILIN2/ANP32B/YY1/MDM4/SOCS3/CYBB/BTG1/GRK2/WASF2/CTSH/CD93/GTF2I/KDM6B/MBD2/ANXA1/PTGS2/LYL1/SOD2/TGFBI/EREG/TNFRSF1B/C5AR1/DUSP6/CYP1B1/EGR1/ZFP36L1/RGS2/ID2/JUNB/IL1B/KLF2/KLF4/CXCL8
GO:0009719,response to endogenous stimulus,216,-0.270237827,-1.676757142,0.000153931,0.006882475,0.006197733,463,"tags=29%, list=20%, signal=25%",CTSD/ID1/CD36/HHEX/ATP1A1/LTA4H/HADHA/NCOA4/TRIM44/FOSL2/BLOC1S6/STUB1/DDX5/CD81/PTGER4/NR4A1/AHCYL1/SORL1/CAT/CD63/YY1/LEPROT/SOCS3/CYBB/FBP1/RHOQ/CTSH/ZNF106/SDCBP/SRSF6/RXRA/BLVRB/ANXA1/PTGS2/ZBTB7A/EREG/TSPO/ZFP36/RPL27/CD44/TNFRSF1B/GNAI2/DUSP6/NFKBIZ/ZFP36L2/CYP1B1/EGR1/GNAS/ZFP36L1/NR4A2/CTSS/IER2/JUNB/IL1B/BTG2/KLF2/KLF4/FOS/JUND/CXCL8/JUN/FOSB
