ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0046683,response to organophosphorus,22,-0.551542814,-2.128092447,0.001072244,0.035147334,0.032394531,215,"tags=27%, list=8%, signal=25%",PTGS2/ZFP36L1/CYP1B1/IL1B/FOS/FOSB
GO:0051384,response to glucocorticoid,23,-0.573060273,-2.209594992,0.000614286,0.021837449,0.020127101,315,"tags=39%, list=11%, signal=35%",HNRNPU/PTGS2/ANXA1/ZFP36L1/CYP1B1/ZFP36/ZFP36L2/FOS/FOSB
GO:0031960,response to corticosteroid,29,-0.545333477,-2.261319683,9.92E-05,0.006766358,0.006236404,345,"tags=41%, list=12%, signal=37%",PTPRC/HNRNPU/CYBB/PTGS2/ANXA1/RPL27/ZFP36L1/CYP1B1/ZFP36/ZFP36L2/FOS/FOSB
GO:0045429,positive regulation of nitric oxide biosynthetic process,16,-0.664280287,-2.265839645,0.000110751,0.006859229,0.006322002,217,"tags=44%, list=8%, signal=41%",HSP90AB1/PTGS2/HSP90AA1/SOD2/IL1B/KLF4/KLF2
GO:1904407,positive regulation of nitric oxide metabolic process,16,-0.664280287,-2.265839645,0.000110751,0.006859229,0.006322002,217,"tags=44%, list=8%, signal=41%",HSP90AB1/PTGS2/HSP90AA1/SOD2/IL1B/KLF4/KLF2
GO:0007565,female pregnancy,27,-0.565421232,-2.274555364,7.79E-05,0.005621007,0.00518076,97,"tags=26%, list=3%, signal=25%",PTGS2/GNAS/RGS2/JUNB/IL1B/FOS/FOSB
GO:0044703,multi-organism reproductive process,27,-0.565421232,-2.274555364,7.79E-05,0.005621007,0.00518076,97,"tags=26%, list=3%, signal=25%",PTGS2/GNAS/RGS2/JUNB/IL1B/FOS/FOSB
GO:0044706,multi-multicellular organism process,27,-0.565421232,-2.274555364,7.79E-05,0.005621007,0.00518076,97,"tags=26%, list=3%, signal=25%",PTGS2/GNAS/RGS2/JUNB/IL1B/FOS/FOSB
GO:0009612,response to mechanical stimulus,32,-0.539854838,-2.276767174,3.66E-05,0.00355777,0.003279119,293,"tags=34%, list=10%, signal=31%",TUBA1A/CXCR4/MTPN/PTGS2/MBD2/TXNIP/NFKBIA/BTG2/IL1B/FOS/FOSB
GO:0045428,regulation of nitric oxide biosynthetic process,20,-0.618971872,-2.317321631,4.83E-05,0.004179002,0.003851695,217,"tags=40%, list=8%, signal=37%",HSP90AB1/PTGS2/HSP90AA1/SOD2/RAC1/IL1B/KLF4/KLF2
GO:0080164,regulation of nitric oxide metabolic process,20,-0.618971872,-2.317321631,4.83E-05,0.004179002,0.003851695,217,"tags=40%, list=8%, signal=37%",HSP90AB1/PTGS2/HSP90AA1/SOD2/RAC1/IL1B/KLF4/KLF2
GO:0046209,nitric oxide metabolic process,22,-0.626739447,-2.418233812,2.33E-05,0.002352392,0.002168149,217,"tags=41%, list=8%, signal=38%",HSP90AB1/PTGS2/HSP90AA1/SOD2/CYP1B1/RAC1/IL1B/KLF4/KLF2
GO:2001057,reactive nitrogen species metabolic process,22,-0.626739447,-2.418233812,2.33E-05,0.002352392,0.002168149,217,"tags=41%, list=8%, signal=38%",HSP90AB1/PTGS2/HSP90AA1/SOD2/CYP1B1/RAC1/IL1B/KLF4/KLF2
GO:0006809,nitric oxide biosynthetic process,21,-0.639842662,-2.432850141,8.04E-05,0.005634426,0.005193128,217,"tags=43%, list=8%, signal=40%",HSP90AB1/PTGS2/HSP90AA1/SOD2/CYP1B1/RAC1/IL1B/KLF4/KLF2
GO:0140467,integrated stress response signaling,18,-0.764705341,-2.759042062,3.55E-08,4.48E-05,4.13E-05,250,"tags=56%, list=9%, signal=51%",HSPA5/ATF4/MAFB/PPP1R15B/CEBPB/PPP1R15A/JUNB/CEBPD/FOS/JUN
